        30s  thinking 4,404, writing 0
        60s  thinking 9,641, writing 0
        90s  thinking 13,885, writing 0
       120s  thinking 18,246, writing 0
       150s  thinking 23,731, writing 0
       180s  thinking 28,958, writing 0
       210s  thinking 34,699, writing 0
       240s  thinking 39,223, writing 0
       270s  thinking 40,887, writing 4,597
  21-proportions: 278s, thought 40,887 chars, wrote 6,857 chars
