        30s  thinking 4,193, writing 0
        60s  thinking 8,237, writing 0
        90s  thinking 13,036, writing 0
       120s  thinking 17,543, writing 0
       150s  thinking 21,937, writing 0
       180s  thinking 26,247, writing 0
       210s  thinking 31,492, writing 0
       240s  thinking 33,091, writing 5,395
       270s  thinking 33,091, writing 13,890
       300s  thinking 33,091, writing 21,948
  13-whole: 303s, thought 33,091 chars, wrote 22,398 chars
