        30s  thinking 3,592, writing 0
        60s  thinking 8,217, writing 0
        90s  thinking 12,413, writing 0
       120s  thinking 18,001, writing 0
       150s  thinking 22,003, writing 0
       180s  thinking 23,826, writing 4,251
       210s  thinking 23,826, writing 12,517
       240s  thinking 23,826, writing 20,965
       270s  thinking 23,826, writing 29,410
  17-merge: 273s, thought 23,826 chars, wrote 29,848 chars
