        30s  thinking 3,770, writing 0
        60s  thinking 7,556, writing 0
        90s  thinking 11,246, writing 0
       120s  thinking 15,039, writing 1,470
       150s  thinking 15,039, writing 8,629
       180s  thinking 15,039, writing 16,619
       210s  thinking 15,039, writing 24,461
       240s  thinking 15,039, writing 32,612
       270s  thinking 15,039, writing 40,967
       300s  thinking 15,039, writing 49,759
  39-pn: 328s, thought 15,039 chars, wrote 56,953 chars
