        30s  thinking 5,022, writing 0
        60s  thinking 11,157, writing 0
        90s  thinking 16,883, writing 0
       120s  thinking 22,875, writing 0
       150s  thinking 29,056, writing 0
       180s  thinking 34,797, writing 0
       210s  thinking 41,231, writing 0
       240s  thinking 47,073, writing 0
       270s  thinking 53,316, writing 0
       300s  thinking 57,718, writing 3,811
  22-strip: 316s, thought 57,718 chars, wrote 9,114 chars
