        30s  thinking 4,066, writing 0
        60s  thinking 7,957, writing 0
        90s  thinking 12,027, writing 0
       120s  thinking 15,953, writing 0
       150s  thinking 19,849, writing 0
       180s  thinking 24,116, writing 0
       210s  thinking 28,739, writing 0
       241s  thinking 32,759, writing 0
       271s  thinking 38,152, writing 0
       301s  thinking 40,280, writing 3,562
  43-drift: 321s, thought 40,280 chars, wrote 8,108 chars
